City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
109,Hobyo,SO,5.3505,48.5268,83.84,60,28,15.41,scattered clouds
110,Agadez,NE,19.75,10.25,73.56,20,14,9.17,few clouds
111,Mangan,IN,27.5167,88.5333,71.87,48,0,4.68,clear sky
112,Vrangel,RU,42.7297,133.0839,32.47,56,17,16.93,few clouds
113,Leh,IN,34.1667,77.5833,28.29,51,41,3.47,scattered clouds
114,Haines Junction,CA,60.7522,-137.5108,13.95,92,100,0.0,overcast clouds
115,Karratha,AU,-20.7377,116.8463,84.74,50,4,15.5,clear sky
116,Tuktoyaktuk,CA,69.4541,-133.0374,8.04,95,100,7.87,overcast clouds
117,Nizhniy Tsasuchey,RU,50.5167,115.1333,1.35,84,100,8.79,overcast clouds
118,Kenora,CA,49.8167,-94.4337,34.77,86,20,9.22,few clouds
119,Banda Aceh,ID,5.5577,95.3222,83.19,71,98,14.32,overcast clouds
120,East London,ZA,-33.0153,27.9116,65.34,88,75,8.05,broken clouds
121,Hithadhoo,MV,-0.6,73.0833,81.93,74,8,12.48,clear sky
122,Port Alfred,ZA,-33.5906,26.891,67.17,80,40,5.01,scattered clouds
123,Krasnoselkup,RU,65.7,82.4667,-18.62,91,17,7.58,few clouds
124,Harper,LR,4.375,-7.7169,82.99,71,2,8.28,clear sky
125,Taoudenni,ML,22.6783,-3.9836,80.15,18,100,13.69,overcast clouds
126,Chicama,PE,-7.8447,-79.1469,61.34,91,96,4.92,overcast clouds
127,Qaanaaq,GL,77.484,-69.3632,-4.85,75,83,6.73,broken clouds
128,Cotonou,BJ,6.3654,2.4183,85.98,70,40,5.75,scattered clouds
129,Umea,SE,63.8284,20.2597,31.93,86,75,5.75,broken clouds
130,Praya,CV,14.9215,-23.5087,75.74,69,0,13.8,clear sky
131,Vila Velha,BR,-20.3297,-40.2925,71.94,90,75,3.44,broken clouds
132,Luwingu,ZM,-10.2621,29.9271,83.59,36,94,7.05,overcast clouds
133,Perth,AU,-31.9333,115.8333,73.58,53,0,18.41,clear sky
134,La Rochelle,FR,46.1667,-1.15,46.87,100,0,9.22,clear sky
135,Arraial Do Cabo,BR,-22.9661,-42.0278,71.56,83,40,4.61,scattered clouds
136,Norman Wells,CA,65.282,-126.8329,10.44,92,100,0.0,light snow
137,Burnie,AU,-41.0667,145.9167,54.95,83,100,7.02,moderate rain
138,Sherlovaya Gora,RU,50.5667,116.25,-7.76,88,94,4.43,overcast clouds
139,Baykit,RU,61.67,96.37,-31.05,99,21,3.09,few clouds
140,Loukhi,RU,66.0764,33.0381,19.94,81,76,6.11,broken clouds
141,Port Blair,IN,11.6667,92.75,82.4,73,87,7.7,overcast clouds
142,Mukhen,RU,48.1,136.1,19.42,93,100,1.77,light snow
143,Klaksvik,FO,62.2266,-6.589,50.92,96,89,23.24,light rain
144,Florianopolis,BR,-27.6146,-48.5012,68.41,96,100,11.5,overcast clouds
145,Kamaishi,JP,39.2667,141.8833,55.72,76,24,10.04,few clouds
146,Seoul,KR,37.5683,126.9778,43.99,37,0,8.05,clear sky
147,Coteana,RO,44.3,24.4667,43.54,54,59,1.19,broken clouds
148,Palana,RU,59.1167,159.9667,6.76,85,65,7.49,broken clouds
149,Puerto Leguizamo,CO,-0.1934,-74.7819,69.69,99,88,2.04,overcast clouds
150,Chernyshevskiy,RU,63.0128,112.4714,-30.21,98,87,3.0,overcast clouds
151,Panguna,PG,-6.3164,155.4848,70.18,97,89,0.87,light rain
152,Upernavik,GL,72.7868,-56.1549,11.37,93,100,8.5,overcast clouds
153,Hilo,US,19.7297,-155.09,71.33,73,100,5.75,overcast clouds
154,Vega De Alatorre,MX,20.0333,-96.6333,74.14,92,96,5.73,overcast clouds
155,Naze,JP,28.3667,129.4833,68.92,75,99,16.55,overcast clouds
156,Colares,PT,38.7992,-9.4469,53.8,76,0,8.01,clear sky
157,Xining,CN,36.6167,101.7667,44.33,25,5,2.62,clear sky
158,Bethel,US,41.3712,-73.414,41.76,60,75,3.44,broken clouds
159,Constitucion,CL,-35.3333,-72.4167,58.37,66,0,3.31,clear sky
160,Port Lincoln,AU,-34.7333,135.8667,62.17,80,78,14.56,broken clouds
161,Mulchen,CL,-37.7167,-72.2333,53.94,75,0,6.06,clear sky
162,Timizart,DZ,36.8,4.2667,58.78,60,12,8.9,few clouds
163,Akyab,MM,20.15,92.9,81.41,62,51,11.25,broken clouds
164,Sandnessjoen,NO,66.0217,12.6316,38.64,62,89,5.01,overcast clouds
165,Mount Isa,AU,-20.7333,139.5,98.37,18,55,9.22,broken clouds
166,Tuatapere,NZ,-46.1333,167.6833,45.21,76,95,4.92,overcast clouds
167,Puerto Ayora,EC,-0.7393,-90.3518,65.55,100,91,1.99,overcast clouds
168,Avarua,CK,-21.2078,-159.775,73.45,73,100,11.5,overcast clouds
169,Bayan,CN,46.0833,127.4,12.45,75,51,6.93,broken clouds
170,Hazorasp,UZ,41.3194,61.0742,48.04,37,7,20.04,clear sky
171,Kindu,CD,-2.95,25.95,70.05,98,100,0.65,light rain
172,Mangrol,IN,21.1167,70.1167,84.79,33,0,5.3,clear sky
173,Khatanga,RU,71.9667,102.5,-17.23,96,96,10.85,overcast clouds
174,Shenjiamen,CN,29.9576,122.298,62.78,78,0,11.43,clear sky
175,Bonthe,SL,7.5264,-12.505,83.53,71,6,0.74,clear sky
176,Gornopravdinsk,RU,60.05,69.9,-10.89,91,100,4.47,overcast clouds
177,Savalou,BJ,7.9281,1.9756,88.97,41,98,1.54,overcast clouds
178,Bulawayo,ZW,-20.15,28.5833,72.03,59,97,10.0,light rain
179,Cherskiy,RU,68.75,161.3,-14.75,99,99,3.11,overcast clouds
180,Champerico,GT,14.3,-91.9167,76.69,85,98,5.77,overcast clouds
181,Kodiak,US,57.79,-152.4072,33.31,47,0,28.77,clear sky
182,Nuuk,GL,64.1835,-51.7216,27.21,80,0,5.75,clear sky
183,Kununurra,AU,-15.7667,128.7333,89.58,55,98,4.61,overcast clouds
184,Sangar,RU,63.9242,127.4739,-39.44,98,45,0.83,scattered clouds
185,Bonavista,CA,48.6499,-53.1147,33.03,84,100,8.39,overcast clouds
186,Palmerston,AU,-12.486,130.9833,82.38,84,75,4.61,broken clouds
187,Shiyan,CN,32.6475,110.7781,60.24,70,96,3.58,overcast clouds
188,Nosy Varika,MG,-20.5833,48.5333,81.12,59,69,9.35,broken clouds
189,Portland,US,45.5234,-122.6762,42.48,96,100,5.99,mist
190,Hereford,GB,52.0568,-2.7148,52.65,88,100,1.99,overcast clouds
191,Tautira,PF,-17.7333,-149.15,75.92,79,50,14.29,light rain
192,Laguna,US,38.421,-121.4238,57.02,83,0,0.0,mist
193,Ballina,AU,-28.8667,153.5667,69.01,88,61,7.87,broken clouds
194,Victoria,HK,22.2855,114.1577,75.38,85,95,3.0,overcast clouds
195,Cockburn Town,TC,21.4612,-71.1419,79.93,76,4,8.1,clear sky
196,Port-De-Bouc,FR,43.4,4.9833,57.58,68,0,18.41,clear sky
197,Bobrovskiy,RU,56.6732,60.9807,-2.04,84,0,6.71,clear sky
