City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hours),Snow inches (last 3 hours)
133,Pemangkat,ID,2022-11-25 03:47:30,1.1667,108.9667,84.94,65,29,6.13,scattered clouds,0,0
134,Bathsheba,BB,2022-11-25 03:47:31,13.2167,-59.5167,81.21,78,40,16.11,scattered clouds,0,0
135,Narsaq,GL,2022-11-25 03:47:31,60.9167,-46.05,32.22,75,100,5.19,overcast clouds,0,0
136,Cayenne,GF,2022-11-25 03:47:32,4.9333,-52.3333,73.44,94,0,2.3,clear sky,0,0
137,Sioux Lookout,CA,2022-11-25 03:45:49,50.1001,-91.917,32.07,80,75,8.05,broken clouds,0,0
138,Pisco,PE,2022-11-25 03:45:00,-13.7,-76.2167,66.25,88,0,4.61,clear sky,0,0
139,Atuona,PF,2022-11-25 03:47:33,-9.8,-139.0333,77.76,76,15,9.4,light rain,0,0
140,Vila Franca Do Campo,PT,2022-11-25 03:47:33,37.7167,-25.4333,64.81,80,82,19.37,broken clouds,0,0
141,Tasiilaq,GL,2022-11-25 03:47:34,65.6145,-37.6368,39.36,70,100,24.09,light rain,0,0
142,Fereydun Kenar,IR,2022-11-25 03:47:34,36.6864,52.5225,59.14,71,11,7.81,few clouds,0,0
143,Aklavik,CA,2022-11-25 03:47:35,68.2191,-135.0107,-11.65,100,93,2.95,overcast clouds,0,0
144,Madera,US,2022-11-25 03:44:15,37.1666,-119.8343,61.23,26,0,1.01,clear sky,0,0
145,Port Blair,IN,2022-11-25 03:47:35,11.6667,92.75,80.64,89,100,5.75,mist,0,0
146,Sainte-Marie,RE,2022-11-25 03:47:36,-20.8968,55.5496,79.41,59,16,16.11,few clouds,0,0
147,Heihe,CN,2022-11-25 03:47:37,50.2441,127.4902,12.78,94,100,11.07,light snow,0,0
148,Lloydminster,CA,2022-11-25 03:47:37,53.2835,-110.0016,39.42,65,100,13.8,overcast clouds,0,0
149,Beringovskiy,RU,2022-11-25 03:47:38,63.05,179.3167,15.8,95,100,6.22,light snow,0,0
150,Baciu,RO,2022-11-25 03:47:38,46.8,23.5167,38.23,81,100,6.91,overcast clouds,0,0
151,Amahai,ID,2022-11-25 03:47:39,-3.3333,128.9167,85.69,68,63,7.56,broken clouds,0,0
152,Chokurdakh,RU,2022-11-25 03:47:39,70.6333,147.9167,-37.07,100,91,2.44,overcast clouds,0,0
153,Lagoa,PT,2022-11-25 03:47:40,39.05,-27.9833,63.14,79,99,34.87,overcast clouds,0,0
154,Kesan,TR,2022-11-25 03:43:00,40.8558,26.6303,47.01,73,100,15.32,light rain,0,0
155,Palmetto,US,2022-11-25 03:45:56,27.5214,-82.5723,71.65,68,0,4.61,clear sky,0,0
156,Barrow,US,2022-11-25 03:47:38,71.2906,-156.7887,12.22,85,100,8.05,light snow,0,0
157,Tabas,IR,2022-11-25 03:47:41,33.5959,56.9244,61.07,21,100,3.09,overcast clouds,0,0
158,Ternate,ID,2022-11-25 03:47:41,0.8,127.4,86.09,64,75,2.19,broken clouds,0,0
159,Salalah,OM,2022-11-25 03:47:42,17.0151,54.0924,71.69,78,20,2.3,few clouds,0,0
160,Kristiansund,NO,2022-11-25 03:47:42,63.1115,7.732,47.05,46,54,10.36,broken clouds,0,0
161,Malanje,AO,2022-11-25 03:47:42,-9.5402,16.341,62.82,98,100,2.39,light rain,0,0
162,Caravelas,BR,2022-11-25 03:47:43,-17.7125,-39.2481,72.64,95,100,7.47,light rain,0,0
163,Puerto Ayacucho,VE,2022-11-25 03:47:43,5.6639,-67.6236,73.92,93,82,2.48,broken clouds,0,0
